2017-12-03	(अंधश्रद्धाभक्ति_खतरा_ए_जान)--(Pune, India)	1
2017-12-03	(animation)--(Hampton Roads)	1
2017-12-03	(18Nov_BlackDay)--(Rajasthan, India)	1
2017-12-03	(LasVegasShooting)--(Chicago, IL)	1
2017-12-03	(flhsfb)--(Gainesville, FL)	1
2017-12-03	(LasVegasShooting)--(United States)	1
2017-12-03	(supermoon)--(Nagercoil, India)	1
2017-12-03	(RSSBJP)--(New Delhi, India)	1
2017-12-03	(LasVegasShooting)--(North Myrtle Beach, SC USA)	1
2017-12-03	(Gujarat4Vikas)--(Lucknow, India)	1
2017-12-03	(WorldAIDSDay)--(New York, NY)	1
2017-12-03	(Vegas)--(Pennsyltucky)	1
2017-12-03	(NDTVNews)--(Pune, India)	1

Number of rows = 104
