Date	Author ID	Frequency
2018-01-15	612725341	1
2018-01-15	26697854	1
2018-01-15	1609564021	1
2018-01-15	911778510049390592	1
2018-01-15	801985302931836928	1
2018-01-15	770810515790659584	1
2018-01-15	801540026240815110	1
2018-01-15	735030543696297984	1
2018-01-15	2995256612	1
2018-01-15	880454181554802688	1
2018-01-15	17096901	1
2018-01-15	50201687	1
2018-01-15	1475843268	1
2018-01-15	2850656225	1
2018-01-15	17171282	1
2018-01-15	788111764508377089	1
2018-01-15	833435102956879873	1
2018-01-15	863625202042851328	1
2018-01-15	312142469	1
2018-01-15	1638717577	1
2018-01-15	545022186	1
2018-01-15	2808058154	1
2018-01-15	940701234264231937	1
2018-01-15	68491408	1
2018-01-15	269613326	1
2018-01-15	930334179488862211	1
2018-01-15	271151237	1
2018-01-15	20097713	1
2018-01-15	146729239	1
2018-01-15	893110004752019456	1
2018-01-15	346240735	1
2018-01-15	946522702319423489	1
2018-01-15	296315679	1
2018-01-15	1060475467	1
2018-01-15	2411153221	1
2018-01-15	1465173126	1
2018-01-15	53077084	1
2018-01-15	2233680356	1
2018-01-15	256502575	1
2018-01-15	910322193816485894	1
2018-01-15	464388945	1
2018-01-15	2466015059	1
2018-01-15	1401283068	1
2018-01-15	1893511237	1
2018-01-15	951677608919519232	1
2018-01-15	2268135619	1
2018-01-15	4343772502	1
2018-01-15	2764661196	1
2018-01-15	3513230292	1
2018-01-15	3698050401	1
2018-01-15	2289081382	1
2018-01-15	18495582	1
2018-01-15	3240342396	1
2018-01-15	95042715	1
2018-01-15	414850800	1
2018-01-15	792543112040214528	1
2018-01-15	391819397	1
2018-01-15	948087777928798209	1
2018-01-15	3253923108	1
2018-01-15	194565184	1
2018-01-15	455740897	1
2018-01-15	501594681	1
2018-01-15	829494115033350145	1
2018-01-15	46316567	1
2018-01-15	273629841	1
2018-01-15	3009786288	1
2018-01-15	3031035633	1
2018-01-15	883383241721434112	1
2018-01-15	3192491088	1
2018-01-15	122559312	1
2018-01-15	915492554	1
2018-01-15	2278943280	1
2018-01-15	4830992751	1
2018-01-15	920134084822573056	1
2018-01-15	922503483986673664	1
2018-01-15	343503573	1
2018-01-15	42760278	1
2018-01-15	534466268	1
2018-01-15	754020799	1
2018-01-15	892880061266673664	1
2018-01-15	2473127747	1
2018-01-15	937061557804158976	1
2018-01-15	897690119884472321	1
2018-01-15	882033988008894465	1
2018-01-15	425494568	1
2018-01-15	23227897	1
2018-01-15	942122522	1
2018-01-15	387387099	1
2018-01-15	109020929	1
2018-01-15	575829385	1
2018-01-15	927821295898595328	1
2018-01-15	636282767	1
2018-01-15	139700739	1
2018-01-15	4327127414	1
2018-01-15	4600944012	1
2018-01-15	716495293009629184	1
2018-01-15	4904183289	1
2018-01-15	949105458098290688	1
2018-01-15	825487710987157505	1
2018-01-15	930843773378031616	1
2018-01-15	936000102665216005	1
2018-01-15	73172951	1
2018-01-15	1576245656	1
2018-01-15	2771542204	1
2018-01-15	728009754555994112	1
2018-01-15	1345205954	1
2018-01-15	38939304	1
2018-01-15	31343484	1
2018-01-15	856801973072416768	1
2018-01-15	2176042064	1
2018-01-15	569713323	1
2018-01-15	172529685	1
2018-01-15	894939050255290368	1
2018-01-15	825885931102167041	1
2018-01-15	823862281654194178	1
2018-01-15	348719480	1
2018-01-15	812444701710315521	1
2018-01-15	910540841696899073	1
2018-01-15	4898667867	1
2018-01-15	185131825	1
2018-01-15	774672882	1
2018-01-15	702231309150773248	1
2018-01-15	813067390019895297	1
2018-01-15	2560001000	1
2018-01-15	2801177472	1
2018-01-15	28581583	1
2018-01-15	17833574	1
2018-01-15	514793921	1
2018-01-15	366548389	1
2018-01-15	917171472426188801	1
2018-01-15	256690749	1
2018-01-15	490553388	1
2018-01-15	18237533	1
